question,choices,subject,answer
چار ایک جیسے الٹرنیٹر ہر ایک کو 20 MVA کے لیے درجہ بندی کیا گیا ہے، 11 KV جن کا 16% کا سب ٹرانسینٹ ری ایکٹنس ہے متوازی طور پر کام کر رہے ہیں۔ بس بار میں شارٹ سرکٹ کی سطح ہے۔,500 ایم وی اے|400 ایم وی اے|125 ایم وی اے|100 ایم وی اے,electrical_engineering,0
بوہر ماڈل کے مطابق، ایک الیکٹران صرف توانائی حاصل کرتا ہے یا نقصان پہنچاتا ہے۔,اجازت شدہ مدار میں تیز یا سست حرکت کرنا۔|ایک سے دوسرے مدار میں چھلانگ لگانا۔|ایک ایٹم سے مکمل طور پر ہٹا دیا جا رہا ہے.|ایک ایٹم سے دوسرے ایٹم پر چھلانگ لگانا۔,electrical_engineering,1
تین ریاستی بفر میں درج ذیل آؤٹ پٹ ریاستیں ہوتی ہیں۔,1، 0، فلوٹ|اونچی، نیچی، فلوٹ|اے اور بی دونوں|سیٹ کریں، ری سیٹ کریں، رکیں۔,electrical_engineering,2
مندرجہ ذیل عناصر میں سے کس کا استعمال کرتے ہوئے، مکینیکل ٹرانسلیشنل سسٹم حاصل کیے جاتے ہیں؟,بڑے پیمانے پر عنصر|موسم بہار کا عنصر|ڈیش برتن|اوپر کا سارا,electrical_engineering,3
40 µF میں سے ہر ایک کے چار کیپسیٹرز متوازی طور پر جڑے ہوئے ہیں، سسٹم کی مساوی گنجائش ہوگی,160 µF|10 µF|40 µF|5 µF,electrical_engineering,0
قطر d اور لمبائی l کے موصل کی مزاحمت R Ω ہے۔ اگر موصل کا قطر آدھا کر دیا جائے اور اس کی لمبائی دوگنی ہو جائے تو مزاحمت ہو گی۔,R Ω|2R Ω|4R Ω|8R Ω,electrical_engineering,2
ایک سنگل فیز فل برج انورٹر لوڈ کمیوٹیشن موڈ میں کام کر سکتا ہے اگر بوجھ پر مشتمل ہو,آر ایل|RLC انڈر ڈیمپڈ۔|RLC اوورڈیمپڈ۔|RLC تنقیدی طور پر نم ہے۔,electrical_engineering,1
ایک مائکرو پروسیسر ALU ہے۔,اور ایک ہی چپ پر کنٹرول یونٹ۔|اور ایک چپ پر میموری۔|ایک ہی چپ پر یونٹ اور I/O ڈیوائس کو رجسٹر کریں۔|ایک ہی چپ پر یونٹ اور کنٹرول یونٹ رجسٹر کریں۔,electrical_engineering,3
اہلیت کی اعلی قدر حاصل کرنے کے لیے، ڈائی الیکٹرک میڈیم کی اجازت ہونی چاہیے۔,کم|صفر|اعلی|اتحاد,electrical_engineering,2
انحراف کا طریقہ براہ راست پیمائش سب سے زیادہ استعمال کیا جاتا ہے جیسا کہ یہ ہیں۔,کم سے کم وقت لگ رہا ہے.|سب سے آسان.|سب سے آسان اور کم سے کم وقت لینے والا۔|سب سے زیادہ درست.,electrical_engineering,2
خالصتاً مکینیکل آلہ متحرک پیمائش کے لیے استعمال نہیں کیا جا سکتا کیونکہ ان کے پاس ہے۔,اعلی جڑتا.|اعلی ردعمل کا وقت.|بڑے وقت مسلسل.|اوپر کا سارا۔,electrical_engineering,3
زیادہ ٹرانسمیشن وولٹیج کے فوائد ہیں/ہیں۔,ٹرانسمیشن لائن کی بجلی کی منتقلی کی صلاحیت میں اضافہ ہوا ہے۔|ٹرانسمیشن لائن لاسز کم ہوئے ہیں۔|کراس سیکشن کا رقبہ اور کنڈکٹر کا حجم کم ہو گیا ہے۔|اوپر کا سارا,electrical_engineering,3
وولٹیج کلیمپنگ ڈیوائس کے ذریعہ پیش کردہ اوور وولٹیج حالت میں رکاوٹ ہے۔,اعلی|کم|اعتدال پسند|انفینٹی,electrical_engineering,1
ہموار گول کنڈکٹر پر مشتمل ایک لمبی تار اوپر اور زمین کے متوازی چلتی ہے (فرض کیا جاتا ہے کہ ایک بڑا کنڈکٹنگ ہوائی جہاز ہے)۔ کنڈکٹر اور گراؤنڈ کے درمیان ایک ہائی وولٹیج موجود ہے۔ زیادہ سے زیادہ برقی تناؤ اس وقت ہوتا ہے۔,موصل کی نچلی سطح۔|موصل کی اوپری سطح۔|زمین کی سطح.|کنڈکٹر اور زمین کے درمیان درمیانی راستہ۔,electrical_engineering,0
ڈی سی مشین میں 6 پول ویو وائنڈنگ استعمال ہوتی ہے۔ متوازی راستوں کی تعداد کتنی ہے؟,6|4|2|1,electrical_engineering,2
مندرجہ ذیل میں سے کون سا ڈیجیٹل ڈیوائس ہے۔,پنکھے کا ریگولیٹر|مائیکروفون|مواد کی مزاحمت|روشنی سوئچ,electrical_engineering,3
انڈکٹر میں فوری طاقت متناسب ہے۔,فوری کرنٹ اور کرنٹ کی تبدیلی کی شرح کی پیداوار۔|فوری کرنٹ کا مربع۔|کرنٹ کی تبدیلی کی شرح کا مربع۔|انڈکٹر کا درجہ حرارت,electrical_engineering,0
مندرجہ ذیل میں سے کون سا متغیر نقل مکانی کرنے والا ٹرانسڈیوسر ہے؟,ٹیکو میٹر|پوٹینشیومیٹر|synchros|مندرجہ بالا میں سے کوئی نہیں,electrical_engineering,1
5 µF میں سے ہر ایک کے پانچ کیپسیٹرز سیریز میں جڑے ہوئے ہیں، سسٹم کی مساوی گنجائش ہوگی,5 µF|25 µF|10 µF|1 µF,electrical_engineering,3
کے لیے حساسیت منفی ہے۔,غیر مقناطیسی مادہ|ڈائی میگنیٹک مادے|فیرو میگنیٹک مادے|اوپر میں سے کوئی نہیں.,electrical_engineering,1
مندرجہ ذیل میں سے ایک آسکیلیٹر کا بنیادی کام ہے۔,sinusoidal oscillations پیدا کرتا ہے|غیر سائنوسائیڈل ویوفارمز پیدا کرتا ہے۔|ایک مستقل طول و عرض اور مخصوص تعدد پر مستقل دولن پیدا کرتا ہے۔|مندرجہ بالا میں سے کوئی نہیں,electrical_engineering,2
برقی مزاحمتی ویلڈنگ کے لیے دھات کی سطحیں ہونی چاہئیں,کھردرا|صاف|گیلا|رنگین,electrical_engineering,1
ایس سی آر کا لیچنگ کرنٹ 20 ایم اے ہے۔ اس کا ہولڈنگ کرنٹ ہوگا۔,23 ایم اے|40 ایم اے|10 ایم اے|60 ایم اے,electrical_engineering,2
فورس کرنٹ قیاس میں، نقل مکانی کے لیے برقی مشابہ مقدار (x) ہے,وولٹیج۔|انڈکٹنس|اہلیت|بہاؤ,electrical_engineering,3
ایک oscillator میں فیڈ بیک سرکٹ کی طرف سے مکمل کیا جا سکتا ہے,ان پٹ اور آؤٹ پٹ کے درمیان مزاحم جوڑے|ان پٹ اور آؤٹ پٹ کے درمیان Capacitive کپلنگ|ان پٹ اور آؤٹ پٹ کے درمیان دلکش جوڑے|مندرجہ بالا طریقوں میں سے کوئی ایک یا مجموعہ,electrical_engineering,3
سب سے کم اہم تعدد صفر کی وجہ سے ہے اور یہ اصل میں موجود یا اصل کے قریب ہو سکتا ہے، پھر نیٹ ورک کی قسم ہے,ایل سی سرکٹ۔|آر سی سرکٹ۔|آر ایل سی سرکٹ۔|آر ایل سرکٹ۔,electrical_engineering,3
ہوا کے ڈائی الیکٹرک مستقل کی قدر کیا ہے؟,1 سے کم|0۔|1۔|ان میں سے کوئی نہیں۔,electrical_engineering,2
درجہ حرارت کا تغیر a/an ہے۔,ڈیجیٹل مقدار|ینالاگ مقدار|یا تو ڈیجیٹل یا اینالاگ مقدار|کوئی نہیں۔,electrical_engineering,1
6 لکس میں ایک لیمپ کے نیچے 5 میٹر کے نقطہ پر روشنی۔ چراغ کی موم بتی طاقت ہے۔,30|140.|150.|200۔,electrical_engineering,2
ڈی سی مشین کے لیے شنٹ ریزسٹنس اور آرمچر ریزسٹنس ویلیوز ہیں۔,اعلی اور اعلی|اونچا اور نیچا|کم اور کم|کم اور اعلی,electrical_engineering,1
مقناطیسی میدان میں کنڈکٹر کے کراس سیکشنل ایریا کی تبدیلی متاثر کرے گی۔,کنڈکٹر کی ہچکچاہٹ|موصل کی مزاحمت|(A) اور (B) دونوں ایک ہی طریقے سے۔|اوپر میں سے کوئی نہیں.,electrical_engineering,2
درج ذیل میں سے کون سا ایس سی آر میں ہائی ڈی وی / ڈی ٹی سے بچانے کے لیے استعمال ہوتا ہے؟,سنبر سرکٹ۔|فیوز|مساوی سرکٹ۔|سرکٹ بریکر۔,electrical_engineering,0
ایک پروگرام میں کمانڈز کے سیٹ کیا ہیں جو اسمبلی کے عمل کے دوران مشین کی ہدایات میں ترجمہ نہیں کیے جاتے ہیں، کہا جاتا ہے؟,یادداشت|ہدایات|شناخت کنندگان|آپرینڈز,electrical_engineering,1
ٹیلی کام کے 4-G نیٹ ورک میں ڈیٹا کی ترسیل کی رفتار ہے۔,386 kbps - 2 ایم بی پی ایس۔|2 ایم بی پی ایس|2 ایم بی پی ایس – 1 جی بی پی ایس۔|100 ایم بی پی ایس - 1 جی بی پی ایس۔,electrical_engineering,3
مندرجہ ذیل میں سے کون سا فعال عنصر ہے؟,وولٹیج کا ذریعہ|موجودہ ماخذ|دونوں|ان میں سے کوئی نہیں۔,electrical_engineering,2
قوت وولٹیج کی مشابہت میں بہار عنصر (K) کے لیے برقی مشابہ مقدار ہے,ایل|آر|1/C|سی,electrical_engineering,2
ایک کوارٹج کرسٹل آسکیلیٹر پر مشتمل ہوتا ہے۔,صرف سیریز گونجنے والی فریکوئنسی۔|صرف متوازی گونج کی تعدد۔|سیریز اور متوازی تعدد دونوں۔|نہ سیریز اور نہ ہی متوازی تعدد۔,electrical_engineering,2
کم تعدد (LF) ایپلی کیشنز کے لیے مندرجہ ذیل میں سے کون سے آسکیلیٹر استعمال کیے جاتے ہیں۔,LC oscillators|RC oscillators|دونوں LC اور RC آسیلیٹرز|کوئی نہیں۔,electrical_engineering,1
1.2 میٹر قطر کے دائرے کی سطح پر 2400 سینٹی میٹر^2 کے رقبے سے جو ٹھوس زاویہ بنایا گیا ہے وہ ہے,3/2۔|1/3۔|2/3۔|2/5۔,electrical_engineering,2
رشتہ دار غلطی ایک جیسی ہے۔,مطلق غلطی اور حقیقی قدر کا تناسب۔|مطلق غلطی.|حقیقی غلطی.|مندرجہ بالا میں سے کوئی نہیں.,electrical_engineering,0
اگر تھائرسٹر کا ہولڈنگ کرنٹ 2 ایم اے ہے تو لیچنگ کرنٹ ہونا چاہیے۔,0.01 اے|0.002 اے|0.009 اے۔|0.004 اے,electrical_engineering,3
انٹیل 8085A میں، انسٹرکشن کا پہلا مشین سائیکل کون سا ہے؟,ایک آپشن کوڈ بازیافت سائیکل|میموری پڑھنے کا چکر|میموری لکھنے کا چکر|ایک I/O پڑھنے کا چکر,electrical_engineering,0
بند لوپ کنٹرول سسٹم کے مندرجہ ذیل میں سے کون سے نقصانات ہیں؟,مجموعی فائدہ کو کم کرتا ہے۔|پیچیدہ اور مہنگا۔|دوغلی ردعمل۔|اوپر کا سارا۔,electrical_engineering,3
